timestamp,slug,pnl,outcome,size,details
2025-12-17 00:15:00,btc-updown-15m-1765929600,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 00:45:01,btc-updown-15m-1765931400,0.0,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.00)
2025-12-17 09:15:01,btc-updown-15m-1765962000,0.0,UNWOUND,5.0,Unwound UP @ 0.00 (Entry 0.00)
2025-12-17 09:30:00,btc-updown-15m-1765962900,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 09:45:00,btc-updown-15m-1765963800,0.0,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.00)
2025-12-17 10:00:01,btc-updown-15m-1765964700,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 10:15:01,btc-updown-15m-1765965600,0.0,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.00)
2025-12-17 14:15:01,btc-updown-15m-1765980000,0.2,FULL_STRADDLE,10.0,Bought UP@0.57 DOWN@0.41
2025-12-17 14:30:00,btc-updown-15m-1765980900,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 14:45:00,btc-updown-15m-1765981800,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 15:00:01,btc-updown-15m-1765982700,0.0,SKIPPED,0.0,Market expired or preconditions not met
2025-12-17 15:15:01,btc-updown-15m-1765983600,-2.75,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.55)
2025-12-17 15:30:00,btc-updown-15m-1765984500,0.1,FULL_STRADDLE,5,Bought UP@0.48 DOWN@0.50
2025-12-17 15:45:01,btc-updown-15m-1765985400,-2.45,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.49)
2025-12-17 16:00:01,btc-updown-15m-1765986300,-2.35,UNWOUND,5,Unwound UP @ 0.00 (Entry 0.47)
2025-12-17 16:15:00,btc-updown-15m-1765987200,-2.5,UNWOUND,5,Unwound UP @ 0.00 (Entry 0.50)
2025-12-17 16:30:01,btc-updown-15m-1765988100,0.1,FULL_STRADDLE,5,Bought UP@0.48 DOWN@0.50
2025-12-17 16:45:01,btc-updown-15m-1765989000,-2.1,UNWOUND,5.0,Unwound DOWN @ 0.00 (Entry 0.42)
2025-12-17 17:00:00,btc-updown-15m-1765989900,0.15,FULL_STRADDLE,5,Bought UP@0.49 DOWN@0.48
2025-12-17 17:15:01,btc-updown-15m-1765990800,0.0,SKIPPED,0.0,Market expired or preconditions not met
