time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:50:14,1765579814,YES,0.24,10.0,2.4,641.4304140000002,1068.739986,924.5447759999994,-283.11436199999923,0xa47bb421de9f465505f387bd26430accbf1510af52588492e4e7b2496f01773f,up
2025-12-12T22:50:14,1765579814,YES,0.25,10.0,2.5,651.4304140000002,1068.739986,927.0447759999994,-275.61436199999923,0xccc5dbdac14b14d7ec23a2cabdc04276541b4a088aec66916b1f4e5e125a602b,up
2025-12-12T22:50:14,1765579814,YES,0.25,6.0,1.5,657.4304140000002,1068.739986,928.5447759999994,-271.11436199999923,0x76b5aadd34c8a1241d61e126f56ca012e24985a8b9763eb1e20ca64cca031439,up
2025-12-12T22:50:14,1765579814,YES,0.25,6.0,1.5,663.4304140000002,1068.739986,930.0447759999994,-266.61436199999923,0xd91000acfa8b15b0a7cb9237291ad9a5f8bf8a2382af572db7fa077535e2cb6a,up
2025-12-12T22:50:14,1765579814,YES,0.25,10.0,2.5,673.4304140000002,1068.739986,932.5447759999994,-259.11436199999923,0x173100e7974a5106e839530a383f0218d857538878b52fb080d83e0aa8fcc7a3,up
2025-12-12T22:50:14,1765579814,YES,0.23,7.33,1.6859000000000002,680.7604140000002,1068.739986,934.2306759999993,-253.47026199999914,0x30334339e6ca8f17e3c6ef46bef637ff21fb64f7b6e9529ee0de27780c7b4c80,up
2025-12-12T22:50:14,1765579814,YES,0.25,9.0,2.25,689.7604140000002,1068.739986,936.4806759999993,-246.72026199999914,0x733e99d9880abe83ce42a34a0ffb79254ed450d5d3356aeba1477f1ae2e9a77d,up
2025-12-12T22:50:16,1765579816,YES,0.25,11.0,2.75,700.7604140000002,1068.739986,939.2306759999993,-238.47026199999914,0xff2f5deb3ead9c16572d6df7e889cc856efd702030554765146372c205ab612b,up
2025-12-12T22:50:16,1765579816,NO,0.76,7.33,5.5708,700.7604140000002,1076.069986,944.8014759999993,-244.0410619999991,0x6f9530d4a277b01a2dd586cc24c10d18886756cc8e760c9105168078fd4a8678,down
2025-12-12T22:50:16,1765579816,YES,0.25,10.0,2.5,710.7604140000002,1076.069986,947.3014759999993,-236.5410619999991,0x177c8bdc9a7b6eff9fbe4971531e91bb63a170ecc3319b12860724e19d5b2e45,up
2025-12-12T22:50:18,1765579818,YES,0.25,10.0,2.5,720.7604140000002,1076.069986,949.8014759999993,-229.0410619999991,0x49932c27631f253e4746752eaae86d4c598920214757e1465be8be41ff49cc02,up
2025-12-12T22:50:18,1765579818,NO,0.75,16.24,12.18,720.7604140000002,1092.309986,961.9814759999992,-241.22106199999905,0x204a1fc8f9c26d46bba101f7d4dacfc466906673d37e6845545069eda8709db4,down
2025-12-12T22:50:20,1765579820,NO,0.75,13.59,10.192499999999999,720.7604140000002,1105.899986,972.1739759999992,-251.41356199999905,0x5b22072ba11dd18b0fd58c0d5ae27eb9175f2a75482b089a87973ac69b242ec7,down
2025-12-12T22:50:20,1765579820,YES,0.25,6.0,1.5,726.7604140000002,1105.899986,973.6739759999992,-246.91356199999905,0xfca856d08013c262122dd894e78d8f52e196b80b3c8aeea5bdc81c0447209dbe,up
2025-12-12T22:50:22,1765579822,YES,0.25,6.0,1.5,732.7604140000002,1105.899986,975.1739759999992,-242.41356199999905,0x447d4af02e9d0270c0591bbcd9b8e221851f3cb5a28380d1260a5e7721ff23ba,up
2025-12-12T22:50:24,1765579824,YES,0.26,10.0,2.6,742.7604140000002,1105.899986,977.7739759999993,-235.01356199999907,0x06c7e9c5e7ee4a0a37a3e00ce9b259527d263ac19a6bb012e6363d87dca48e04,up
2025-12-12T22:50:24,1765579824,YES,0.25,30.0,7.5,772.7604140000002,1105.899986,985.2739759999993,-212.51356199999907,0x4d0e5e18829e7c381d3294910489017e5cc44ecbf0bafab32ffef535d83e6640,up
2025-12-12T22:50:24,1765579824,YES,0.25,132.17,33.0425,904.9304140000002,1105.899986,1018.3164759999993,-113.38606199999913,0x490dc34e3ee0a10ec7dc9a3c13eb6e759c5fbed6094c7e8aca97de257bf61a2f,up
