timestamp,dt,slug,state,best_bid_yes,best_ask_yes,best_bid_no,best_ask_no,q_yes,q_no,fills_yes,fills_no,exposure,mtm_pnl,lock_pnl,decision,time_rem,btc_price,btc_delta,btc_conf,btc_bias,fair_yes,fair_no
1765744399,2025-12-14 21:33:19,btc-updown-15m-1765744200,IDLE,0.41,0.42,0.58,0.59,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,702,0.0,0.0,0.0,NEUTRAL,0.42,0.58
1765744402,2025-12-14 21:33:22,btc-updown-15m-1765744200,IDLE,0.42,0.43,0.57,0.58,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,698,0.0,0.0,0.0,NEUTRAL,0.43,0.57
1765744406,2025-12-14 21:33:26,btc-updown-15m-1765744200,IDLE,0.42,0.44,0.56,0.58,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,695,0.0,0.0,0.0,NEUTRAL,0.438,0.562
1765744410,2025-12-14 21:33:30,btc-updown-15m-1765744200,IDLE,0.44,0.45,0.55,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,690,0.0,0.0,0.0,NEUTRAL,0.44,0.557
1765744414,2025-12-14 21:33:34,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,687,0.0,0.0,0.0,NEUTRAL,0.44,0.56
1765744416,2025-12-14 21:33:36,btc-updown-15m-1765744200,IDLE,0.45,0.46,0.54,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,683,0.0,0.0,0.0,NEUTRAL,0.452,0.548
1765744420,2025-12-14 21:33:40,btc-updown-15m-1765744200,IDLE,0.45,0.46,0.54,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,681,0.0,0.0,0.0,NEUTRAL,0.454,0.546
1765744424,2025-12-14 21:33:44,btc-updown-15m-1765744200,IDLE,0.45,0.46,0.54,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,676,0.0,0.0,0.0,NEUTRAL,0.455,0.545
1765744428,2025-12-14 21:33:48,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.55,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,673,0.0,0.0,0.0,NEUTRAL,0.44,0.559
1765744430,2025-12-14 21:33:50,btc-updown-15m-1765744200,IDLE,0.44,0.45,0.55,0.56,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,669,0.0,0.0,0.0,NEUTRAL,0.441,0.559
1765744434,2025-12-14 21:33:54,btc-updown-15m-1765744200,IDLE,0.44,0.45,0.55,0.56,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,667,0.0,0.0,0.0,NEUTRAL,0.441,0.559
1765744438,2025-12-14 21:33:58,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,662,0.0,0.0,0.0,NEUTRAL,0.437,0.563
1765744442,2025-12-14 21:34:02,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,659,0.0,0.0,0.0,NEUTRAL,0.44,0.562
1765744444,2025-12-14 21:34:04,btc-updown-15m-1765744200,IDLE,0.46,0.47,0.53,0.54,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,655,0.0,0.0,0.0,NEUTRAL,0.467,0.533
1765744448,2025-12-14 21:34:08,btc-updown-15m-1765744200,IDLE,0.46,0.47,0.53,0.54,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,652,0.0,0.0,0.0,NEUTRAL,0.47,0.53
1765744452,2025-12-14 21:34:12,btc-updown-15m-1765744200,IDLE,0.47,0.48,0.52,0.53,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,647,0.0,0.0,0.0,NEUTRAL,0.47,0.53
1765744456,2025-12-14 21:34:16,btc-updown-15m-1765744200,IDLE,0.47,0.49,0.51,0.52,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,645,0.0,0.0,0.0,NEUTRAL,0.47,0.52
1765744458,2025-12-14 21:34:18,btc-updown-15m-1765744200,IDLE,0.46,0.47,0.53,0.54,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,641,0.0,0.0,0.0,NEUTRAL,0.467,0.533
1765744462,2025-12-14 21:34:22,btc-updown-15m-1765744200,IDLE,0.45,0.46,0.54,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,639,0.0,0.0,0.0,NEUTRAL,0.46,0.54
1765744467,2025-12-14 21:34:27,btc-updown-15m-1765744200,IDLE,0.45,0.46,0.54,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,633,0.0,0.0,0.0,NEUTRAL,0.458,0.54
1765744629,2025-12-14 21:37:09,btc-updown-15m-1765744200,IDLE,0.46,0.47,0.52,0.53,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,472,88664.49,0.0,0.0,NEUTRAL,0.464,0.521
1765744632,2025-12-14 21:37:12,btc-updown-15m-1765744200,IDLE,0.45,0.48,0.52,0.55,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,468,88663.55,0.0,0.0,NEUTRAL,0.475,0.525
